FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09110510300,2388033,0,4119,12.22
09110510400,2702880,87828,5794,20.41
09110510500,3628284,18483,3059,0.8
09110510600,7020639,283703,4936,20.16
09110510700,3261994,0,4503,12.31
09110510800,2760820,579025,3382,7.92
09110510900,3226464,0,3785,8.19
09110511000,3361298,0,3593,1.64
09110511100,4134970,16533,3593,4.62
09110511200,1899377,59668,3582,15.08
09110511300,1752636,41808,3990,22.31
09110511400,4350933,0,2385,6.43
09110514101,4398552,15049,3148,6.98
09110514103,8497242,0,4666,3.51
09110514104,4188625,37464,3517,6.57
09110514200,3602504,201934,3251,8.68
09110514300,2192485,0,4340,2.46
09110514400,2423902,23757,4979,9.59
09110514500,2721630,0,4420,5.33
09110514600,2144936,0,5119,15.64
09110514700,1383464,0,5117,8.03
09110514800,1377342,0,3286,30.7
09110514900,3546060,22405,2990,1.37
09110515000,5819653,103011,3020,0
09110515101,2869203,0,2536,3.28
09110515102,14425579,106416,5683,10.28
09110515200,11431947,159903,3401,2.37
09110520100,14545605,61531,5676,0
09110520201,30630369,169127,3763,0.73
09110520202,35226588,209633,4350,1.84
09110520301,7401559,0,4673,3.22
09110520302,8080988,527685,4335,3.46
09110520400,18152799,857996,7847,0.89
09110520501,18720481,550038,4492,1.95
09110524100,60479198,444481,6106,6.25
09110524200,11573262,44907,6749,6.02
09110524300,13245555,243879,5037,0.8
09110524400,2748770,0,3651,12.3
09110524501,505955,0,3574,6.17
09110524502,1705657,0,2197,5.77
09110524600,1284877,0,3115,12.84
09110524700,1786340,0,3832,14.64
09110526101,43168815,477283,4088,2.33
09110526102,52388802,427663,5021,1.07
09110528100,40012484,635900,3148,0
09110529100,37314555,766251,4848,6.86
09110530100,2446479,142113,2233,9.86
09110530200,3202682,0,6502,18.71
09110530301,4528721,0,5022,6.52
09110530302,8165191,0,6507,2.72
09110530400,4463197,19436,4004,6.61
09110530500,6408808,54521,3475,8.5
09110530600,16672149,772475,2634,0
09110533102,36307158,151626,5582,3.79
09110533103,28150710,1422781,4475,6.36
09110533104,38175646,55804,4499,0
09110535101,18977336,23779,5813,1.15
09110535102,25981033,1848,4480,15.21
09110535200,43206583,1355239,6407,1.94
09110538100,1637915,0,1078,
09110538201,38651100,216049,5055,0.62
09110538202,33412147,87978,4031,0.72
09110840100,86230085,582494,5563,4.62
09110850100,49745926,47320,5848,1.69
09110850200,47562093,1697140,6419,4.84
09110860100,55355052,1587988,5268,0.49
09110881100,57881356,2261829,4415,0.65
09110881200,2273066,28584,7944,0
09110881300,23672163,171344,4811,13.51
09110881500,31779294,178962,5284,7.35
09110890100,8850574,40014,3719,6.08
09110890202,93259177,698992,4996,1.83
09110890204,48207064,1129952,2747,3.45
09110980001,2363607,0,0,
09110980002,3833412,0,0,
09110980003,602790,0,0,
09110980100,4136404,1044531,940,
09120060100,3837602,0,3995,1.41
09120060200,4201169,11817,4479,3.74
09120060300,11682704,1050712,4251,2.25
09120060400,22385495,0,5098,0.55
09120060500,5608990,17867,3156,1.39
09120060600,2941270,406934,2089,5.02
09120060700,5305269,46781,7987,1.69
09120060800,1423922,0,2265,4.03
09120060900,1496123,0,2680,0.69
09120061000,3329661,0,4189,6.33
09120061100,2707147,0,3850,0
09120061200,790582,0,2270,3.62
09120061300,1250954,0,2973,1.92
09120061400,1615561,0,3196,6.72
09120061500,3641728,540635,4823,0.45
09120061600,5229605,1752515,5207,9
09120070100,1692879,744658,6732,0
09120070200,843488,59847,4419,20.19
09120070300,1074850,214804,1277,31.91
09120070400,1742609,4461228,1926,9.09
09120070500,382635,0,1945,45.22
09120070600,1781953,365174,2697,14.99
09120070900,442261,0,2394,53.75
09120071000,1147984,0,2669,12.58
09120071100,662760,0,4278,20.25
09120071200,556437,0,5589,33.63
09120071300,309935,0,2635,7.89
09120071400,584774,0,4409,32.13
09120071600,172310,0,2309,36.11
09120071900,494024,0,4678,10.46
09120072000,687910,0,3691,18.38
09120072100,1296158,0,7005,10.05
09120072200,901411,0,4439,10.72
09120072300,917854,0,5627,12.26
09120072400,683636,0,3496,5.2
09120072500,1445637,0,6336,13.01
09120072600,3020530,3299,9045,10.62
09120072700,1796460,281360,4206,9.68
09120072800,1497269,0,4693,17.55
09120072900,2321220,134940,4739,11.99
09120073000,1201081,0,1887,0
09120073100,2887276,22088,4877,9.78
09120073200,877230,0,3999,25.53
09120073300,502620,0,3222,14.56
09120073400,1241390,20085,3183,23.09
09120073500,444174,17207,3098,25.71
09120073600,269194,0,2139,24.75
09120073700,881822,4891,4410,25.88
09120073800,527984,5532,1907,38.99
09120073900,510134,34332,3280,22.67
09120074000,944567,287380,2044,19.39
09120074300,1372825,80504,3987,33.96
09120074400,1951522,1929317,4326,20.76
09120080100,1198442,0,4664,9.58
09120080200,1338468,2977,3546,13.7
09120080400,3649098,98374,4451,3.49
09120080500,8345990,3881238,3795,5.98
09120080600,1707445,594288,2833,11.01
09120080700,1750427,283029,1952,2.26
09120080800,3268077,629719,5104,2.04
09120080900,1848471,0,5084,2.93
09120081000,2795938,0,4681,3.1
09120081100,3366225,0,4745,2.38
09120081200,6000772,435905,6146,1.98
09120081300,9979288,384421,5402,3.03
09120090100,8551041,87362,3008,2.85
09120090200,9739615,257766,8234,4.2
09120090300,4764507,0,4554,5.64
09120090400,7347827,0,6891,3.87
09120090500,8916506,35371,5111,3.25
09120090600,8077308,235157,3504,0
09120090700,12819470,7898,5626,5.74
09120100100,21959638,26341,5466,2.87
09120100200,16376641,66768,6637,2.93
09120100300,29186165,417988,6730,0.98
09120105100,31856125,1290889,4057,0
09120105200,39169961,1941105,3555,9.23
09120257200,1537836,39122,4419,26.69
09120990000,0,230554513,0,
09130541100,1560653,126325,2144,14.06
09130541200,8848906,160514,5463,1
09130541301,1065043,0,1864,15.71
09130541302,1090277,0,3773,7.66
09130541401,22388715,185298,3350,2.25
09130541402,8009316,117558,5690,6.64
09130541500,1223466,914,3330,3.03
09130541600,676257,200773,1368,26.3
09130541700,1859404,134564,3684,26.32
09130542000,4055346,46026,4831,8.22
09130542100,4876226,105245,4025,10.1
09130542200,3806501,7061,1692,0
09130550100,32757816,2145839,6017,7.37
09130550201,32077115,0,3997,0
09130550202,27500688,1081821,2820,0
09130560100,54709142,2797188,5895,0.71
09130560200,5767184,1099114,3526,4.78
09130570100,10147045,57727,5178,1.65
09130570200,6431331,18619,3370,5.31
09130570300,15672804,1214999,5753,1.91
09130580100,32759592,1581755,4236,1.18
09130585100,61276966,395266,7182,1.52
09130590101,53429271,5442244,3825,2.11
09130590102,60366785,632142,4737,2.97
09130595101,88816450,2206060,3472,5.58
09130595102,51699559,3827724,5462,1.51
09130600100,41573119,2010913,3786,6.98
09130610100,5273485,2536626,2179,10.66
09130610200,8192788,4470427,3656,3.3
09130610300,16435816,223402,4250,1.35
09130610400,12073364,52873,3232,1.52
09130620100,35001764,1684245,4432,2.37
09130630101,16730087,345298,4041,1.37
09130630102,10212089,3418887,2725,0
09130640100,91506573,1170681,6219,0.65
09130650100,82353554,6919728,2356,2.06
09130660101,29356011,6721978,3386,1.94
09130660103,20531283,315132,2752,0.96
09130660104,9717710,8002167,1506,1.94
09130670100,25188555,4830189,5030,3.55
09130670200,13814587,12084886,5485,2.83
09130680101,30040880,604541,2922,2.49
09130680102,10803050,14350388,3910,2.1
09130680200,46775743,2403946,6432,7.26
09130990100,0,145359959,0,
09140110100,787597,87527,3521,6.97
09140110201,3233210,397179,5322,5.41
09140110202,10303622,558984,5003,3.36
09140110301,10336294,86122,6269,5.13
09140110302,7856027,1443071,3195,4.78
09140110400,10838548,37032,5084,4.39
09140110500,13074934,74156,5166,1.07
09140110601,12597022,3411,2642,2.96
09140110602,10307728,605373,5200,0.94
09140120100,6215546,363897,6426,5.3
09140120200,6878579,542471,5933,2.46
09140125100,4155903,17738,4237,6.9
09140125200,6249812,111626,5843,8.3
09140125300,3245123,111625,5105,4.27
09140125400,1937770,194211,3766,7.21
09140130101,8614739,95472,5110,7.28
09140130102,7464338,419365,3516,3.17
09140130201,13489819,497091,3896,3.24
09140130202,8032026,177924,4277,1.69
09140341100,25055586,301401,6089,3.8
09140342100,50181137,740227,3398,0.96
