FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09180870704,6715928,12405021,4154,1.45
09180980000,2495100,740942,1304,
09180990100,,,0,
09190010101,32765658,217746,4112,2.09
09190010102,32619575,1449252,4285,2.05
09190010201,11255057,140761,3437,5.51
09190010202,9845918,135916,5872,2.21
09190010300,9636411,37010,4439,0
09190010400,2699580,38416,5340,3.31
09190010500,1916409,11507,6180,11.4
09190010600,883179,0,1741,3.02
09190010700,1855240,87317,3619,2.44
09190010800,1857937,204390,3397,5.61
09190010900,2595072,102736,5494,3.52
09190011000,4473567,3841129,5361,1.99
09190011100,4370720,1985027,5265,0.52
09190011200,4903702,5042758,1801,3.68
09190011300,1919655,6714176,3162,0.54
09190020101,309714,0,2662,3.82
09190020102,638356,0,4467,1.31
09190020200,19346004,743384,3454,3.05
09190020301,11795062,765749,3442,0
09190020302,7879420,102459,3346,1.46
09190020400,9354092,401020,3219,0
09190020500,9236478,32460,4633,0.81
09190020600,3409879,11069,4587,2.75
09190020700,5804965,55870,3752,1.94
09190020800,2308451,0,2406,0
09190020900,1640220,0,5543,10.79
09190021000,1976607,0,3592,9.68
09190021100,1858959,0,5794,10.23
09190021200,2399974,0,3867,1.74
09190021300,2287341,0,4745,0
09190021401,543685,0,4292,13.97
09190021402,1120632,0,4375,15.33
09190021501,397807,0,4528,11.69
09190021502,346295,0,3344,5.29
09190021601,459686,0,3378,4.13
09190021602,324994,0,4777,4.67
09190021701,259960,0,4191,7.87
09190021702,505499,0,4808,9.92
09190021801,1033438,0,4696,5.79
09190021802,1397378,0,5322,5.97
09190021900,2155427,2385113,5966,10.83
09190022000,736436,0,3294,23.14
09190022101,566408,0,2498,26.99
09190022102,1453419,311983,4044,0
09190022201,598429,0,3345,11.99
09190022202,842319,228812,5355,2.46
09190022300,2724628,886469,6291,6.69
09190022400,1743336,2216785,1793,4.95
09190030100,11129324,27900,3225,3.16
09190030200,4379862,45814,3675,0
09190030300,8427195,5570784,4489,1.99
09190030400,3391739,0,4061,4.4
09190030500,5446368,5422,6233,5.41
09190035101,2200629,14027,4054,2.68
09190035102,4346949,115,3806,3.7
09190035200,17400725,508352,3241,4.13
09190035300,13444758,46232,4061,0.79
09190035400,20091019,282909,5542,1.17
09190042500,6252677,38740,3352,0.9
09190042600,2941030,0,4289,4.54
09190042700,4107177,43237,5630,6.95
09190042800,2440480,20942,4987,5.8
09190042900,3940799,6271,1428,0
09190043000,3028521,37313,3088,7.32
09190043100,6652728,58522,4480,1.25
09190043200,2769528,11056,3152,14.13
09190043300,1229595,31379,3185,6.26
09190043400,1358476,0,5130,4
09190043500,1837184,0,2303,14.7
09190043600,1451065,62914,3389,0
09190043700,1186979,66141,3602,16.01
09190043800,1944742,0,8308,11.88
09190043900,3443730,11403,5236,4.45
09190044000,1207845,0,6863,19.16
09190044100,956680,194115,3868,24.39
09190044200,1444752,309287,4106,3.23
09190044300,3883905,1198786,3922,0.82
09190044400,2650232,10614309,3998,17.21
09190044500,1287342,0,4022,12.28
09190044600,3259765,2028523,3037,0
09190045101,19680995,1153174,4172,2.27
09190045102,26683126,52703,5931,2.67
09190045200,8316069,0,2754,0
09190045300,7004133,33258,2462,1.5
09190045400,7692428,36965,3120,0
09190050100,8701513,113408,4318,1.71
09190050200,4878639,90789,3625,4.6
09190050301,7295115,13383,4250,2.82
09190050302,10316526,7329,4216,4.93
09190050400,3601406,10102279,2379,1.88
09190050500,6757886,2310469,5277,3.65
09190050600,10144081,2592137,3217,2.24
09190055100,34628962,2216980,5861,1.21
09190055200,16574870,124329,4474,0.44
09190200100,5056815,0,4058,2.25
09190200200,5619062,0,5800,3.62
09190200301,9898015,0,5251,0.44
09190200302,23344298,156161,5389,0.94
09190205100,9556780,518305,4547,7.8
09190205200,24935139,1023319,6913,2.03
09190205300,16623797,0,6030,6.05
09190210101,695595,0,2658,24.46
09190210102,612603,0,3432,34.42
09190210201,1188242,0,3248,7.29
09190210202,1191359,0,3637,16.06
09190210300,2665744,0,5477,9.93
09190210401,1886188,0,4685,13.84
09190210402,5611963,0,4087,4.16
09190210501,18673408,457312,2982,0
09190210502,14728981,229663,6618,1.78
09190210600,2634253,0,7105,10.04
09190210701,1247002,0,6293,21.78
09190210702,1307752,0,4487,4.97
09190210800,16290361,1183857,5985,2.97
09190210900,12781488,185296,5519,2.94
09190211000,7080028,787556,4227,3.32
09190211100,1544744,0,979,0
09190211201,2279434,76368,3202,11.73
09190211202,4285574,2066051,2723,9.69
09190211300,4889025,472691,3739,1.69
09190211400,7261551,348325,5003,10.45
09190220100,10988038,339111,5140,4.1
09190220200,30724448,506361,4759,0.25
09190220300,11177481,11303892,3659,2.25
09190230100,40190697,1650366,7009,0
09190230200,5967206,0,1968,0.72
09190230300,20675071,527819,3240,3.42
09190230400,35422556,58143,6107,1.69
09190230501,20289755,1287504,4134,7.34
09190230502,26450969,129899,4926,4.35
09190240100,34396263,224740,4501,3.37
09190240200,47130890,1181866,4255,3.41
09190245100,10354901,171931,3078,0.97
09190245200,18979941,455830,4343,3.08
09190245300,13656451,81428,5516,1.13
09190245400,12763582,25832,3449,1.01
09190245500,7574107,0,2674,0
09190245600,26026379,554077,5932,2.99
09190250100,42478578,2360514,1670,1.54
09190253100,5075728,0,3469,12.56
09190253200,30930437,293150,7170,1.53
09190253400,37277698,4122562,6309,0.31
09190253500,68802186,529044,5956,14.47
09190257100,56757602,3967080,3508,1.72
09190425700,17360267,672562,5257,4.32
09190990000,0,194005248,0,
