FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34001012801,2538377,298747,34,"Census Tract 128.01, Atlantic County, New Jersey",3865,6.62
34001012802,2590925,1694760,34,"Census Tract 128.02, Atlantic County, New Jersey",1592,2.61
34001013000,2040565,1339295,34,"Census Tract 130, Atlantic County, New Jersey",3095,2.98
34001013101,829999,822542,34,"Census Tract 131.01, Atlantic County, New Jersey",1017,0
34001013102,797128,959115,34,"Census Tract 131.02, Atlantic County, New Jersey",1148,10.51
34001013201,1360584,820471,34,"Census Tract 132.01, Atlantic County, New Jersey",2426,1.16
34001013202,761907,610652,34,"Census Tract 132.02, Atlantic County, New Jersey",2057,1.14
34001013301,2029887,1873190,34,"Census Tract 133.01, Atlantic County, New Jersey",2158,4.41
34001013302,911754,758178,34,"Census Tract 133.02, Atlantic County, New Jersey",2579,17.22
34001013500,19771250,16316551,34,"Census Tract 135, Atlantic County, New Jersey",2557,2.64
34001983400,7259826,228790,34,"Census Tract 9834, Atlantic County, New Jersey",2821,0
34001990000,0,134532010,34,"Census Tract 9900, Atlantic County, New Jersey",0,
34003001001,3956704,22756,34,"Census Tract 10.01, Bergen County, New Jersey",3168,0
34003001002,4064748,30868,34,"Census Tract 10.02, Bergen County, New Jersey",3652,0.97
34003002100,16578454,7426917,34,"Census Tract 21, Bergen County, New Jersey",1503,2.25
34003002200,5873397,24988,34,"Census Tract 22, Bergen County, New Jersey",5301,3.1
34003002300,7213199,22642,34,"Census Tract 23, Bergen County, New Jersey",5668,1.77
34003003100,1243260,0,34,"Census Tract 31, Bergen County, New Jersey",5370,4.93
34003003200,1241016,0,34,"Census Tract 32, Bergen County, New Jersey",4834,5.74
34003003300,1789832,15019,34,"Census Tract 33, Bergen County, New Jersey",7291,4.18
34003003401,755382,0,34,"Census Tract 34.01, Bergen County, New Jersey",2783,0.82
34003003402,1052665,0,34,"Census Tract 34.02, Bergen County, New Jersey",3828,2.5
34003003500,1418062,9362,34,"Census Tract 35, Bergen County, New Jersey",4132,16.05
34003004001,844191,30480,34,"Census Tract 40.01, Bergen County, New Jersey",3842,6.09
34003004002,1110295,78541,34,"Census Tract 40.02, Bergen County, New Jersey",5268,4.64
34003005000,10221592,674547,34,"Census Tract 50, Bergen County, New Jersey",6343,12.85
34003006101,362657,0,34,"Census Tract 61.01, Bergen County, New Jersey",4293,5.88
34003006102,407835,0,34,"Census Tract 61.02, Bergen County, New Jersey",3312,4.29
34003006201,637239,0,34,"Census Tract 62.01, Bergen County, New Jersey",4715,3.93
34003006202,331141,0,34,"Census Tract 62.02, Bergen County, New Jersey",4559,0
34003006301,317666,0,34,"Census Tract 63.01, Bergen County, New Jersey",4474,22.65
34003006302,418903,0,34,"Census Tract 63.02, Bergen County, New Jersey",4227,10.03
34003007001,3529447,356174,34,"Census Tract 70.01, Bergen County, New Jersey",4129,2.6
34003007002,4655526,11144,34,"Census Tract 70.02, Bergen County, New Jersey",4415,9.96
34003008001,3689599,597,34,"Census Tract 80.01, Bergen County, New Jersey",4674,0.74
34003008002,1657950,12206,34,"Census Tract 80.02, Bergen County, New Jersey",4427,0.61
34003009100,5367610,17177,34,"Census Tract 91, Bergen County, New Jersey",4916,1.15
34003009200,5017372,1031153,34,"Census Tract 92, Bergen County, New Jersey",3321,3.48
34003010100,1768883,0,34,"Census Tract 101, Bergen County, New Jersey",5953,4.74
34003010200,1013291,0,34,"Census Tract 102, Bergen County, New Jersey",4254,1.36
34003010300,2288205,7228,34,"Census Tract 103, Bergen County, New Jersey",7896,6.09
34003011100,1294769,41454,34,"Census Tract 111, Bergen County, New Jersey",4907,10.53
34003011200,1142139,64419,34,"Census Tract 112, Bergen County, New Jersey",4682,1.39
34003011300,2100025,105212,34,"Census Tract 113, Bergen County, New Jersey",4620,11.84
34003011400,2308180,0,34,"Census Tract 114, Bergen County, New Jersey",7078,7.09
34003012001,8675776,820243,34,"Census Tract 120.01, Bergen County, New Jersey",6426,4.34
34003012002,936988,32221,34,"Census Tract 120.02, Bergen County, New Jersey",3728,6.46
34003013002,1175279,1896155,34,"Census Tract 130.02, Bergen County, New Jersey",6572,5.51
34003013003,790925,1881230,34,"Census Tract 130.03, Bergen County, New Jersey",3907,0
34003013004,548833,0,34,"Census Tract 130.04, Bergen County, New Jersey",4065,8.21
34003014000,5778027,493201,34,"Census Tract 140, Bergen County, New Jersey",7263,1.01
34003015100,2846369,0,34,"Census Tract 151, Bergen County, New Jersey",2583,2.16
34003015200,2026199,5573,34,"Census Tract 152, Bergen County, New Jersey",6085,16.54
34003015300,1603857,0,34,"Census Tract 153, Bergen County, New Jersey",5815,3.52
34003015401,1170720,0,34,"Census Tract 154.01, Bergen County, New Jersey",4561,12.72
34003015402,1404774,32317,34,"Census Tract 154.02, Bergen County, New Jersey",3528,2.63
34003015500,3704990,21986,34,"Census Tract 155, Bergen County, New Jersey",6770,3.46
