"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003
"34011040901","Census Tract 409.01","Census Tract 409.01, Cumberland County, New Jersey","nj","140","00","ACSSF","0001951",,,,,"34","011",,,,"040901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34011040901",,,"20145873","202170",688,152,536,22.09,77.91
"34011040902","Census Tract 409.02","Census Tract 409.02, Cumberland County, New Jersey","nj","140","00","ACSSF","0001952",,,,,"34","011",,,,"040902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34011040902",,,"19236156","96849",1380,338,1042,24.49,75.51
"34011041000","Census Tract 410","Census Tract 410, Cumberland County, New Jersey","nj","140","00","ACSSF","0001953",,,,,"34","011",,,,"041000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34011041000",,,"83695099","1052098",1474,56,1418,3.8,96.2
"34011041100","Census Tract 411","Census Tract 411, Cumberland County, New Jersey","nj","140","00","ACSSF","0001954",,,,,"34","011",,,,"041100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34011041100",,,"3056879","0",1544,532,1012,34.46,65.54
"34011990000","Census Tract 9900","Census Tract 9900, Cumberland County, New Jersey","nj","140","00","ACSSF","0001955",,,,,"34","011",,,,"990000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34011990000",,,"0","448306025",0,0,0,,
"34013000100","Census Tract 1","Census Tract 1, Essex County, New Jersey","nj","140","00","ACSSF","0001956",,,,,"34","013",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000100",,,"938930","6653",1596,391,1205,24.5,75.5
"34013000200","Census Tract 2","Census Tract 2, Essex County, New Jersey","nj","140","00","ACSSF","0001957",,,,,"34","013",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000200",,,"763973","22301",965,145,820,15.03,84.97
"34013000300","Census Tract 3","Census Tract 3, Essex County, New Jersey","nj","140","00","ACSSF","0001958",,,,,"34","013",,,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000300",,,"327802","0",793,366,427,46.15,53.85
"34013000400","Census Tract 4","Census Tract 4, Essex County, New Jersey","nj","140","00","ACSSF","0001959",,,,,"34","013",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000400",,,"178899","0",342,101,241,29.53,70.47
"34013000500","Census Tract 5","Census Tract 5, Essex County, New Jersey","nj","140","00","ACSSF","0001960",,,,,"34","013",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000500",,,"207629","0",562,256,306,45.55,54.45
"34013000600","Census Tract 6","Census Tract 6, Essex County, New Jersey","nj","140","00","ACSSF","0001961",,,,,"34","013",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000600",,,"327539","0",648,204,444,31.48,68.52
"34013000700","Census Tract 7","Census Tract 7, Essex County, New Jersey","nj","140","00","ACSSF","0001962",,,,,"34","013",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000700",,,"653283","0",2318,646,1672,27.87,72.13
"34013000800","Census Tract 8","Census Tract 8, Essex County, New Jersey","nj","140","00","ACSSF","0001963",,,,,"34","013",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000800",,,"382013","0",1360,554,806,40.74,59.26
"34013000900","Census Tract 9","Census Tract 9, Essex County, New Jersey","nj","140","00","ACSSF","0001964",,,,,"34","013",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013000900",,,"328057","0",910,497,413,54.62,45.38
"34013001000","Census Tract 10","Census Tract 10, Essex County, New Jersey","nj","140","00","ACSSF","0001965",,,,,"34","013",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001000",,,"529855","0",571,230,341,40.28,59.72
"34013001100","Census Tract 11","Census Tract 11, Essex County, New Jersey","nj","140","00","ACSSF","0001966",,,,,"34","013",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001100",,,"569149","0",628,354,274,56.37,43.63
"34013001300","Census Tract 13","Census Tract 13, Essex County, New Jersey","nj","140","00","ACSSF","0001967",,,,,"34","013",,,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001300",,,"223279","0",393,77,316,19.59,80.41
"34013001400","Census Tract 14","Census Tract 14, Essex County, New Jersey","nj","140","00","ACSSF","0001968",,,,,"34","013",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001400",,,"332961","0",637,352,285,55.26,44.74
"34013001500","Census Tract 15","Census Tract 15, Essex County, New Jersey","nj","140","00","ACSSF","0001969",,,,,"34","013",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001500",,,"237650","0",435,253,182,58.16,41.84
"34013001600","Census Tract 16","Census Tract 16, Essex County, New Jersey","nj","140","00","ACSSF","0001970",,,,,"34","013",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001600",,,"261037","0",453,68,385,15.01,84.99
"34013001700","Census Tract 17","Census Tract 17, Essex County, New Jersey","nj","140","00","ACSSF","0001971",,,,,"34","013",,,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001700",,,"286405","0",867,338,529,38.99,61.01
"34013001800","Census Tract 18","Census Tract 18, Essex County, New Jersey","nj","140","00","ACSSF","0001972",,,,,"34","013",,,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001800",,,"694976","0",558,200,358,35.84,64.16
"34013001900","Census Tract 19","Census Tract 19, Essex County, New Jersey","nj","140","00","ACSSF","0001973",,,,,"34","013",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013001900",,,"709181","0",617,437,180,70.83,29.17
"34013002000","Census Tract 20","Census Tract 20, Essex County, New Jersey","nj","140","00","ACSSF","0001974",,,,,"34","013",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002000",,,"406087","0",969,310,659,31.99,68.01
"34013002100","Census Tract 21","Census Tract 21, Essex County, New Jersey","nj","140","00","ACSSF","0001975",,,,,"34","013",,,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002100",,,"438393","0",841,345,496,41.02,58.98
"34013002201","Census Tract 22.01","Census Tract 22.01, Essex County, New Jersey","nj","140","00","ACSSF","0001976",,,,,"34","013",,,,"002201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002201",,,"560044","0",2568,947,1621,36.88,63.12
"34013002202","Census Tract 22.02","Census Tract 22.02, Essex County, New Jersey","nj","140","00","ACSSF","0001977",,,,,"34","013",,,,"002202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002202",,,"386950","0",824,64,760,7.77,92.23
"34013002300","Census Tract 23","Census Tract 23, Essex County, New Jersey","nj","140","00","ACSSF","0001978",,,,,"34","013",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002300",,,"498553","0",1008,239,769,23.71,76.29
"34013002400","Census Tract 24","Census Tract 24, Essex County, New Jersey","nj","140","00","ACSSF","0001979",,,,,"34","013",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002400",,,"386910","0",546,271,275,49.63,50.37
"34013002500","Census Tract 25","Census Tract 25, Essex County, New Jersey","nj","140","00","ACSSF","0001980",,,,,"34","013",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002500",,,"373350","0",1179,573,606,48.6,51.4
"34013002600","Census Tract 26","Census Tract 26, Essex County, New Jersey","nj","140","00","ACSSF","0001981",,,,,"34","013",,,,"002600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002600",,,"206227","0",533,288,245,54.03,45.97
"34013002800","Census Tract 28","Census Tract 28, Essex County, New Jersey","nj","140","00","ACSSF","0001982",,,,,"34","013",,,,"002800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013002800",,,"214167","0",377,279,98,74.01,25.99
"34013003100","Census Tract 31","Census Tract 31, Essex County, New Jersey","nj","140","00","ACSSF","0001983",,,,,"34","013",,,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013003100",,,"267909","0",772,289,483,37.44,62.56
"34013003500","Census Tract 35","Census Tract 35, Essex County, New Jersey","nj","140","00","ACSSF","0001984",,,,,"34","013",,,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013003500",,,"253692","0",603,319,284,52.9,47.1
"34013003700","Census Tract 37","Census Tract 37, Essex County, New Jersey","nj","140","00","ACSSF","0001985",,,,,"34","013",,,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013003700",,,"329259","0",535,226,309,42.24,57.76
"34013003800","Census Tract 38","Census Tract 38, Essex County, New Jersey","nj","140","00","ACSSF","0001986",,,,,"34","013",,,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013003800",,,"574740","0",440,174,266,39.55,60.45
"34013003900","Census Tract 39","Census Tract 39, Essex County, New Jersey","nj","140","00","ACSSF","0001987",,,,,"34","013",,,,"003900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013003900",,,"308176","0",439,358,81,81.55,18.45
"34013004100","Census Tract 41","Census Tract 41, Essex County, New Jersey","nj","140","00","ACSSF","0001988",,,,,"34","013",,,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004100",,,"347849","0",942,443,499,47.03,52.97
"34013004200","Census Tract 42","Census Tract 42, Essex County, New Jersey","nj","140","00","ACSSF","0001989",,,,,"34","013",,,,"004200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004200",,,"290396","0",445,275,170,61.8,38.2
"34013004300","Census Tract 43","Census Tract 43, Essex County, New Jersey","nj","140","00","ACSSF","0001990",,,,,"34","013",,,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004300",,,"377480","0",839,591,248,70.44,29.56
"34013004400","Census Tract 44","Census Tract 44, Essex County, New Jersey","nj","140","00","ACSSF","0001991",,,,,"34","013",,,,"004400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004400",,,"221417","0",324,66,258,20.37,79.63
"34013004500","Census Tract 45","Census Tract 45, Essex County, New Jersey","nj","140","00","ACSSF","0001992",,,,,"34","013",,,,"004500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004500",,,"489028","0",762,127,635,16.67,83.33
"34013004600","Census Tract 46","Census Tract 46, Essex County, New Jersey","nj","140","00","ACSSF","0001993",,,,,"34","013",,,,"004600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004600",,,"394162","0",480,103,377,21.46,78.54
"34013004700","Census Tract 47","Census Tract 47, Essex County, New Jersey","nj","140","00","ACSSF","0001994",,,,,"34","013",,,,"004700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004700",,,"567566","0",865,257,608,29.71,70.29
"34013004801","Census Tract 48.01","Census Tract 48.01, Essex County, New Jersey","nj","140","00","ACSSF","0001995",,,,,"34","013",,,,"004801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004801",,,"168089","0",614,366,248,59.61,40.39
"34013004802","Census Tract 48.02","Census Tract 48.02, Essex County, New Jersey","nj","140","00","ACSSF","0001996",,,,,"34","013",,,,"004802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004802",,,"2336363","0",570,253,317,44.39,55.61
"34013004900","Census Tract 49","Census Tract 49, Essex County, New Jersey","nj","140","00","ACSSF","0001997",,,,,"34","013",,,,"004900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013004900",,,"394145","0",1024,102,922,9.96,90.04
"34013005000","Census Tract 50","Census Tract 50, Essex County, New Jersey","nj","140","00","ACSSF","0001998",,,,,"34","013",,,,"005000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005000",,,"797381","0",856,413,443,48.25,51.75
"34013005100","Census Tract 51","Census Tract 51, Essex County, New Jersey","nj","140","00","ACSSF","0001999",,,,,"34","013",,,,"005100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005100",,,"308433","0",437,101,336,23.11,76.89
"34013005200","Census Tract 52","Census Tract 52, Essex County, New Jersey","nj","140","00","ACSSF","0002000",,,,,"34","013",,,,"005200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005200",,,"268643","0",303,148,155,48.84,51.16
"34013005300","Census Tract 53","Census Tract 53, Essex County, New Jersey","nj","140","00","ACSSF","0002001",,,,,"34","013",,,,"005300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005300",,,"320466","0",521,270,251,51.82,48.18
"34013005400","Census Tract 54","Census Tract 54, Essex County, New Jersey","nj","140","00","ACSSF","0002002",,,,,"34","013",,,,"005400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005400",,,"351902","0",1521,893,628,58.71,41.29
"34013005700","Census Tract 57","Census Tract 57, Essex County, New Jersey","nj","140","00","ACSSF","0002003",,,,,"34","013",,,,"005700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013005700",,,"865725","0",675,234,441,34.67,65.33
"34013006200","Census Tract 62","Census Tract 62, Essex County, New Jersey","nj","140","00","ACSSF","0002004",,,,,"34","013",,,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006200",,,"235827","0",502,269,233,53.59,46.41
"34013006400","Census Tract 64","Census Tract 64, Essex County, New Jersey","nj","140","00","ACSSF","0002005",,,,,"34","013",,,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006400",,,"309844","0",195,56,139,28.72,71.28
"34013006600","Census Tract 66","Census Tract 66, Essex County, New Jersey","nj","140","00","ACSSF","0002006",,,,,"34","013",,,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006600",,,"161941","0",294,102,192,34.69,65.31
"34013006700","Census Tract 67","Census Tract 67, Essex County, New Jersey","nj","140","00","ACSSF","0002007",,,,,"34","013",,,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006700",,,"326879","0",1086,491,595,45.21,54.79
"34013006800","Census Tract 68","Census Tract 68, Essex County, New Jersey","nj","140","00","ACSSF","0002008",,,,,"34","013",,,,"006800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006800",,,"1170425","0",1544,570,974,36.92,63.08
"34013006900","Census Tract 69","Census Tract 69, Essex County, New Jersey","nj","140","00","ACSSF","0002009",,,,,"34","013",,,,"006900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013006900",,,"360629","0",1047,211,836,20.15,79.85
"34013007000","Census Tract 70","Census Tract 70, Essex County, New Jersey","nj","140","00","ACSSF","0002010",,,,,"34","013",,,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007000",,,"397128","0",749,46,703,6.14,93.86
"34013007100","Census Tract 71","Census Tract 71, Essex County, New Jersey","nj","140","00","ACSSF","0002011",,,,,"34","013",,,,"007100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007100",,,"385859","0",882,274,608,31.07,68.93
"34013007200","Census Tract 72","Census Tract 72, Essex County, New Jersey","nj","140","00","ACSSF","0002012",,,,,"34","013",,,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007200",,,"203449","0",911,170,741,18.66,81.34
"34013007300","Census Tract 73","Census Tract 73, Essex County, New Jersey","nj","140","00","ACSSF","0002013",,,,,"34","013",,,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007300",,,"411980","0",1394,556,838,39.89,60.11
"34013007400","Census Tract 74","Census Tract 74, Essex County, New Jersey","nj","140","00","ACSSF","0002014",,,,,"34","013",,,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007400",,,"3701996","665362",590,169,421,28.64,71.36
"34013007501","Census Tract 75.01","Census Tract 75.01, Essex County, New Jersey","nj","140","00","ACSSF","0002015",,,,,"34","013",,,,"007501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007501",,,"1962302","352084",1052,558,494,53.04,46.96
"34013007502","Census Tract 75.02","Census Tract 75.02, Essex County, New Jersey","nj","140","00","ACSSF","0002016",,,,,"34","013",,,,"007502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007502",,,"1697606","82608",844,392,452,46.45,53.55
"34013007600","Census Tract 76","Census Tract 76, Essex County, New Jersey","nj","140","00","ACSSF","0002017",,,,,"34","013",,,,"007600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007600",,,"194441","0",675,218,457,32.3,67.7
"34013007700","Census Tract 77","Census Tract 77, Essex County, New Jersey","nj","140","00","ACSSF","0002018",,,,,"34","013",,,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007700",,,"198794","0",583,121,462,20.75,79.25
"34013007800","Census Tract 78","Census Tract 78, Essex County, New Jersey","nj","140","00","ACSSF","0002019",,,,,"34","013",,,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007800",,,"197685","0",788,131,657,16.62,83.38
"34013007900","Census Tract 79","Census Tract 79, Essex County, New Jersey","nj","140","00","ACSSF","0002020",,,,,"34","013",,,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013007900",,,"468606","28652",613,261,352,42.58,57.42
"34013008000","Census Tract 80","Census Tract 80, Essex County, New Jersey","nj","140","00","ACSSF","0002021",,,,,"34","013",,,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008000",,,"847977","17867",423,153,270,36.17,63.83
"34013008100","Census Tract 81","Census Tract 81, Essex County, New Jersey","nj","140","00","ACSSF","0002022",,,,,"34","013",,,,"008100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008100",,,"806563","0",812,370,442,45.57,54.43
"34013008200","Census Tract 82","Census Tract 82, Essex County, New Jersey","nj","140","00","ACSSF","0002023",,,,,"34","013",,,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008200",,,"428715","0",630,370,260,58.73,41.27
"34013008700","Census Tract 87","Census Tract 87, Essex County, New Jersey","nj","140","00","ACSSF","0002024",,,,,"34","013",,,,"008700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008700",,,"511847","17246",775,253,522,32.65,67.35
"34013008800","Census Tract 88","Census Tract 88, Essex County, New Jersey","nj","140","00","ACSSF","0002025",,,,,"34","013",,,,"008800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008800",,,"154461","0",624,338,286,54.17,45.83
"34013008900","Census Tract 89","Census Tract 89, Essex County, New Jersey","nj","140","00","ACSSF","0002026",,,,,"34","013",,,,"008900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013008900",,,"137212","0",577,251,326,43.5,56.5
"34013009000","Census Tract 90","Census Tract 90, Essex County, New Jersey","nj","140","00","ACSSF","0002027",,,,,"34","013",,,,"009000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009000",,,"395369","58937",396,159,237,40.15,59.85
"34013009100","Census Tract 91","Census Tract 91, Essex County, New Jersey","nj","140","00","ACSSF","0002028",,,,,"34","013",,,,"009100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009100",,,"442720","39927",944,260,684,27.54,72.46
"34013009200","Census Tract 92","Census Tract 92, Essex County, New Jersey","nj","140","00","ACSSF","0002029",,,,,"34","013",,,,"009200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009200",,,"370972","34248",689,226,463,32.8,67.2
"34013009300","Census Tract 93","Census Tract 93, Essex County, New Jersey","nj","140","00","ACSSF","0002030",,,,,"34","013",,,,"009300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009300",,,"552907","0",1483,230,1253,15.51,84.49
"34013009400","Census Tract 94","Census Tract 94, Essex County, New Jersey","nj","140","00","ACSSF","0002031",,,,,"34","013",,,,"009400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009400",,,"622913","0",1069,263,806,24.6,75.4
"34013009500","Census Tract 95","Census Tract 95, Essex County, New Jersey","nj","140","00","ACSSF","0002032",,,,,"34","013",,,,"009500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009500",,,"603388","0",1144,411,733,35.93,64.07
"34013009600","Census Tract 96","Census Tract 96, Essex County, New Jersey","nj","140","00","ACSSF","0002033",,,,,"34","013",,,,"009600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009600",,,"1089628","139136",1699,750,949,44.14,55.86
"34013009700","Census Tract 97","Census Tract 97, Essex County, New Jersey","nj","140","00","ACSSF","0002034",,,,,"34","013",,,,"009700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009700",,,"410689","1472",1714,645,1069,37.63,62.37
"34013009900","Census Tract 99","Census Tract 99, Essex County, New Jersey","nj","140","00","ACSSF","0002035",,,,,"34","013",,,,"009900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013009900",,,"437614","0",561,198,363,35.29,64.71
"34013010000","Census Tract 100","Census Tract 100, Essex County, New Jersey","nj","140","00","ACSSF","0002036",,,,,"34","013",,,,"010000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010000",,,"794179","0",484,43,441,8.88,91.12
"34013010100","Census Tract 101","Census Tract 101, Essex County, New Jersey","nj","140","00","ACSSF","0002037",,,,,"34","013",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010100",,,"761266","0",612,75,537,12.25,87.75
"34013010200","Census Tract 102","Census Tract 102, Essex County, New Jersey","nj","140","00","ACSSF","0002038",,,,,"34","013",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010200",,,"956899","0",1031,34,997,3.3,96.7
"34013010300","Census Tract 103","Census Tract 103, Essex County, New Jersey","nj","140","00","ACSSF","0002039",,,,,"34","013",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010300",,,"583934","0",747,226,521,30.25,69.75
"34013010400","Census Tract 104","Census Tract 104, Essex County, New Jersey","nj","140","00","ACSSF","0002040",,,,,"34","013",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010400",,,"607052","0",921,162,759,17.59,82.41
"34013010500","Census Tract 105","Census Tract 105, Essex County, New Jersey","nj","140","00","ACSSF","0002041",,,,,"34","013",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010500",,,"489573","0",1071,329,742,30.72,69.28
"34013010600","Census Tract 106","Census Tract 106, Essex County, New Jersey","nj","140","00","ACSSF","0002042",,,,,"34","013",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010600",,,"490320","0",1106,257,849,23.24,76.76
"34013010700","Census Tract 107","Census Tract 107, Essex County, New Jersey","nj","140","00","ACSSF","0002043",,,,,"34","013",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010700",,,"464231","0",649,270,379,41.6,58.4
"34013010800","Census Tract 108","Census Tract 108, Essex County, New Jersey","nj","140","00","ACSSF","0002044",,,,,"34","013",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010800",,,"252323","0",796,179,617,22.49,77.51
"34013010900","Census Tract 109","Census Tract 109, Essex County, New Jersey","nj","140","00","ACSSF","0002045",,,,,"34","013",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34013010900",,,"993008","0",581,106,475,18.24,81.76
