FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
09110471400,33448072,373023,9,"Census Tract 4714, Capitol Planning Region, Connecticut",5932,7.69
09110471500,16750537,42414,9,"Census Tract 4715, Capitol Planning Region, Connecticut",4075,0
09110473100,10598408,0,9,"Census Tract 4731, Capitol Planning Region, Connecticut",6246,1.08
09110473400,2329556,29953,9,"Census Tract 4734, Capitol Planning Region, Connecticut",1840,15.26
09110473501,24830346,1240362,9,"Census Tract 4735.01, Capitol Planning Region, Connecticut",4923,1.64
09110473502,13941196,130592,9,"Census Tract 4735.02, Capitol Planning Region, Connecticut",3395,6.6
09110473601,12483062,1215354,9,"Census Tract 4736.01, Capitol Planning Region, Connecticut",3281,2.26
09110473602,3227130,80773,9,"Census Tract 4736.02, Capitol Planning Region, Connecticut",2409,7.33
09110473700,7202666,878735,9,"Census Tract 4737, Capitol Planning Region, Connecticut",5526,1.57
09110473800,1830834,173905,9,"Census Tract 4738, Capitol Planning Region, Connecticut",1747,3.52
09110476100,6353713,884319,9,"Census Tract 4761, Capitol Planning Region, Connecticut",4816,1.39
09110476200,3985821,0,9,"Census Tract 4762, Capitol Planning Region, Connecticut",2586,12.28
09110476300,9198687,0,9,"Census Tract 4763, Capitol Planning Region, Connecticut",5153,13.31
09110477101,45196855,32236,9,"Census Tract 4771.01, Capitol Planning Region, Connecticut",4293,0.5
09110477103,11496413,873825,9,"Census Tract 4771.03, Capitol Planning Region, Connecticut",4170,5.57
09110477104,16158686,699458,9,"Census Tract 4771.04, Capitol Planning Region, Connecticut",4060,0
09110477200,36070570,132560,9,"Census Tract 4772, Capitol Planning Region, Connecticut",3113,0
09110480300,2936322,0,9,"Census Tract 4803, Capitol Planning Region, Connecticut",2047,6.3
09110480400,4204157,0,9,"Census Tract 4804, Capitol Planning Region, Connecticut",3719,4.26
09110480500,3654218,338685,9,"Census Tract 4805, Capitol Planning Region, Connecticut",3138,1.48
09110480600,1745994,428578,9,"Census Tract 4806, Capitol Planning Region, Connecticut",4140,19.53
09110480700,2347045,358555,9,"Census Tract 4807, Capitol Planning Region, Connecticut",2142,6.08
09110480800,13156527,7780,9,"Census Tract 4808, Capitol Planning Region, Connecticut",4214,1.45
09110480900,5842613,0,9,"Census Tract 4809, Capitol Planning Region, Connecticut",2564,3.92
09110481000,19441820,15152,9,"Census Tract 4810, Capitol Planning Region, Connecticut",3660,4.4
09110481100,5747597,0,9,"Census Tract 4811, Capitol Planning Region, Connecticut",3704,1.2
09110481200,6136531,380121,9,"Census Tract 4812, Capitol Planning Region, Connecticut",3844,10.58
09110481300,7834460,676078,9,"Census Tract 4813, Capitol Planning Region, Connecticut",2891,2.56
09110484100,33516493,1297022,9,"Census Tract 4841, Capitol Planning Region, Connecticut",5399,1.31
09110484200,34472509,169589,9,"Census Tract 4842, Capitol Planning Region, Connecticut",5758,8.03
09110487100,18194263,29750,9,"Census Tract 4871, Capitol Planning Region, Connecticut",7048,1.25
09110487201,7338156,1414,9,"Census Tract 4872.01, Capitol Planning Region, Connecticut",4683,3.67
09110487202,5718114,12416,9,"Census Tract 4872.02, Capitol Planning Region, Connecticut",3383,0
09110487300,16154476,1368241,9,"Census Tract 4873, Capitol Planning Region, Connecticut",1492,0
09110487400,13307944,74529,9,"Census Tract 4874, Capitol Planning Region, Connecticut",2744,3.17
09110487500,11955329,85933,9,"Census Tract 4875, Capitol Planning Region, Connecticut",7470,5.53
09110490100,11165097,952432,9,"Census Tract 4901, Capitol Planning Region, Connecticut",5554,0
09110490303,4233390,0,9,"Census Tract 4903.03, Capitol Planning Region, Connecticut",4016,0
09110490304,7896211,0,9,"Census Tract 4903.04, Capitol Planning Region, Connecticut",4405,1.03
09110492100,8886578,1866392,9,"Census Tract 4921, Capitol Planning Region, Connecticut",3651,0.91
09110492200,2703223,0,9,"Census Tract 4922, Capitol Planning Region, Connecticut",4202,0.17
09110492300,5448308,35432,9,"Census Tract 4923, Capitol Planning Region, Connecticut",6121,12.24
09110492400,3008123,3059,9,"Census Tract 4924, Capitol Planning Region, Connecticut",2950,2.96
09110492500,3223856,0,9,"Census Tract 4925, Capitol Planning Region, Connecticut",3573,2.29
09110492600,8592444,166515,9,"Census Tract 4926, Capitol Planning Region, Connecticut",6683,1.56
09110494100,5044537,0,9,"Census Tract 4941, Capitol Planning Region, Connecticut",6300,15.96
09110494201,6056904,0,9,"Census Tract 4942.01, Capitol Planning Region, Connecticut",4659,1.22
09110494202,2490307,0,9,"Census Tract 4942.02, Capitol Planning Region, Connecticut",2844,0
09110494300,5139139,0,9,"Census Tract 4943, Capitol Planning Region, Connecticut",4031,5.99
09110494400,4333137,0,9,"Census Tract 4944, Capitol Planning Region, Connecticut",4575,7.24
09110494500,5166312,0,9,"Census Tract 4945, Capitol Planning Region, Connecticut",4727,4.06
09110494600,5803762,0,9,"Census Tract 4946, Capitol Planning Region, Connecticut",3415,3.42
09110496100,3163598,0,9,"Census Tract 4961, Capitol Planning Region, Connecticut",2651,23.05
09110496200,2745056,0,9,"Census Tract 4962, Capitol Planning Region, Connecticut",4969,2.3
09110496300,2125872,0,9,"Census Tract 4963, Capitol Planning Region, Connecticut",3651,5.12
09110496400,2858536,0,9,"Census Tract 4964, Capitol Planning Region, Connecticut",2973,0.93
09110496500,1366986,0,9,"Census Tract 4965, Capitol Planning Region, Connecticut",2879,0
09110496600,3221755,246578,9,"Census Tract 4966, Capitol Planning Region, Connecticut",2740,0
09110496700,1327889,0,9,"Census Tract 4967, Capitol Planning Region, Connecticut",3795,6.55
09110496800,1410493,0,9,"Census Tract 4968, Capitol Planning Region, Connecticut",3395,7.52
09110496900,2142871,0,9,"Census Tract 4969, Capitol Planning Region, Connecticut",6211,2.02
09110497000,2407403,0,9,"Census Tract 4970, Capitol Planning Region, Connecticut",4330,0
09110497100,1340638,0,9,"Census Tract 4971, Capitol Planning Region, Connecticut",4097,4.25
09110497200,1798314,0,9,"Census Tract 4972, Capitol Planning Region, Connecticut",2330,0.63
09110497300,5311033,1328,9,"Census Tract 4973, Capitol Planning Region, Connecticut",5069,0
09110497400,4056597,6237,9,"Census Tract 4974, Capitol Planning Region, Connecticut",4014,0.61
09110497500,3828604,10090,9,"Census Tract 4975, Capitol Planning Region, Connecticut",4043,1.67
09110497600,1791701,0,9,"Census Tract 4976, Capitol Planning Region, Connecticut",2319,1.38
09110497700,15662803,832288,9,"Census Tract 4977, Capitol Planning Region, Connecticut",4343,0
09110500100,403498,0,9,"Census Tract 5001, Capitol Planning Region, Connecticut",2978,41.61
09110500200,389395,0,9,"Census Tract 5002, Capitol Planning Region, Connecticut",1631,24.63
09110500300,531518,0,9,"Census Tract 5003, Capitol Planning Region, Connecticut",1993,33.52
09110500400,948719,0,9,"Census Tract 5004, Capitol Planning Region, Connecticut",1663,20.81
09110500500,282625,0,9,"Census Tract 5005, Capitol Planning Region, Connecticut",1320,16.52
09110500900,503990,0,9,"Census Tract 5009, Capitol Planning Region, Connecticut",1973,40.9
09110501200,731974,0,9,"Census Tract 5012, Capitol Planning Region, Connecticut",2541,45.35
09110501300,262251,0,9,"Census Tract 5013, Capitol Planning Region, Connecticut",1807,34.58
09110501400,370001,0,9,"Census Tract 5014, Capitol Planning Region, Connecticut",2141,14.11
09110501500,1789690,13593,9,"Census Tract 5015, Capitol Planning Region, Connecticut",3547,35.94
09110501700,297599,0,9,"Census Tract 5017, Capitol Planning Region, Connecticut",1849,49.28
09110501800,512933,0,9,"Census Tract 5018, Capitol Planning Region, Connecticut",2640,40.81
09110502100,2238024,316993,9,"Census Tract 5021, Capitol Planning Region, Connecticut",3113,10.37
09110502300,1726136,11391,9,"Census Tract 5023, Capitol Planning Region, Connecticut",5476,12.57
09110502400,733061,0,9,"Census Tract 5024, Capitol Planning Region, Connecticut",6729,21.27
09110502500,5416253,343915,9,"Census Tract 5025, Capitol Planning Region, Connecticut",1850,31.28
09110502600,546761,0,9,"Census Tract 5026, Capitol Planning Region, Connecticut",3637,17.82
09110502700,1011637,0,9,"Census Tract 5027, Capitol Planning Region, Connecticut",4860,25.5
09110502800,472294,0,9,"Census Tract 5028, Capitol Planning Region, Connecticut",3027,22.95
09110502900,802325,0,9,"Census Tract 5029, Capitol Planning Region, Connecticut",2634,9.22
09110503000,484878,0,9,"Census Tract 5030, Capitol Planning Region, Connecticut",2964,33.57
