Always equal to ACS Summary File identification,State Postal Abbreviation,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Qualified Area Name,Total_Pop,Percent_Pov
ACSSF,NJ,1400000US34001011000,"Census Tract 110, Atlantic County, New Jersey",,,34001011000,17112186,122700,34,,"Census Tract 110, Atlantic County, New Jersey",2690,0
ACSSF,NJ,1400000US34001011100,"Census Tract 111, Atlantic County, New Jersey",,,34001011100,11786268,72953,34,,"Census Tract 111, Atlantic County, New Jersey",3134,15.29
ACSSF,NJ,1400000US34001011201,"Census Tract 112.01, Atlantic County, New Jersey",,,34001011201,21404102,634664,34,,"Census Tract 112.01, Atlantic County, New Jersey",1732,8.39
ACSSF,NJ,1400000US34001011202,"Census Tract 112.02, Atlantic County, New Jersey",,,34001011202,106395939,1297594,34,,"Census Tract 112.02, Atlantic County, New Jersey",7064,14.19
ACSSF,NJ,1400000US34001011300,"Census Tract 113, Atlantic County, New Jersey",,,34001011300,19613394,3293,34,,"Census Tract 113, Atlantic County, New Jersey",4500,3.91
ACSSF,NJ,1400000US34001011401,"Census Tract 114.01, Atlantic County, New Jersey",,,34001011401,116281135,3095943,34,,"Census Tract 114.01, Atlantic County, New Jersey",4506,0.37
ACSSF,NJ,1400000US34001011403,"Census Tract 114.03, Atlantic County, New Jersey",,,34001011403,28312462,194760,34,,"Census Tract 114.03, Atlantic County, New Jersey",6704,7.43
ACSSF,NJ,1400000US34001011404,"Census Tract 114.04, Atlantic County, New Jersey",,,34001011404,35975470,967711,34,,"Census Tract 114.04, Atlantic County, New Jersey",10339,6.6
ACSSF,NJ,1400000US34001011500,"Census Tract 115, Atlantic County, New Jersey",,,34001011500,106647810,1047741,34,,"Census Tract 115, Atlantic County, New Jersey",6335,18.68
ACSSF,NJ,1400000US34001011600,"Census Tract 116, Atlantic County, New Jersey",,,34001011600,188826608,8854861,34,,"Census Tract 116, Atlantic County, New Jersey",4925,12.45
ACSSF,NJ,1400000US34001011702,"Census Tract 117.02, Atlantic County, New Jersey",,,34001011702,30562626,851452,34,,"Census Tract 117.02, Atlantic County, New Jersey",3777,18.9
ACSSF,NJ,1400000US34001011703,"Census Tract 117.03, Atlantic County, New Jersey",,,34001011703,7858424,0,34,,"Census Tract 117.03, Atlantic County, New Jersey",5307,1.23
ACSSF,NJ,1400000US34001011704,"Census Tract 117.04, Atlantic County, New Jersey",,,34001011704,4838060,3467,34,,"Census Tract 117.04, Atlantic County, New Jersey",4686,30.21
ACSSF,NJ,1400000US34001011803,"Census Tract 118.03, Atlantic County, New Jersey",,,34001011803,7196281,207395,34,,"Census Tract 118.03, Atlantic County, New Jersey",5581,18.51
ACSSF,NJ,1400000US34001011804,"Census Tract 118.04, Atlantic County, New Jersey",,,34001011804,30846290,4499753,34,,"Census Tract 118.04, Atlantic County, New Jersey",7150,16.45
ACSSF,NJ,1400000US34001011805,"Census Tract 118.05, Atlantic County, New Jersey",,,34001011805,38665307,1778031,34,,"Census Tract 118.05, Atlantic County, New Jersey",2467,17.7
ACSSF,NJ,1400000US34001011806,"Census Tract 118.06, Atlantic County, New Jersey",,,34001011806,11175752,2053,34,,"Census Tract 118.06, Atlantic County, New Jersey",8229,11.99
ACSSF,NJ,1400000US34001011807,"Census Tract 118.07, Atlantic County, New Jersey",,,34001011807,18375138,181936,34,,"Census Tract 118.07, Atlantic County, New Jersey",5875,4.33
ACSSF,NJ,1400000US34001011808,"Census Tract 118.08, Atlantic County, New Jersey",,,34001011808,7629162,0,34,,"Census Tract 118.08, Atlantic County, New Jersey",3784,6.58
ACSSF,NJ,1400000US34001011901,"Census Tract 119.01, Atlantic County, New Jersey",,,34001011901,1604718,0,34,,"Census Tract 119.01, Atlantic County, New Jersey",3255,20.57
ACSSF,NJ,1400000US34001011902,"Census Tract 119.02, Atlantic County, New Jersey",,,34001011902,2967539,2010,34,,"Census Tract 119.02, Atlantic County, New Jersey",4644,61.31
ACSSF,NJ,1400000US34001012000,"Census Tract 120, Atlantic County, New Jersey",,,34001012000,6458575,1690373,34,,"Census Tract 120, Atlantic County, New Jersey",4324,7.76
ACSSF,NJ,1400000US34001012100,"Census Tract 121, Atlantic County, New Jersey",,,34001012100,1822932,4009472,34,,"Census Tract 121, Atlantic County, New Jersey",3184,33.08
ACSSF,NJ,1400000US34001012200,"Census Tract 122, Atlantic County, New Jersey",,,34001012200,2969338,0,34,,"Census Tract 122, Atlantic County, New Jersey",5799,48.05
ACSSF,NJ,1400000US34001012302,"Census Tract 123.02, Atlantic County, New Jersey",,,34001012302,4135043,89557,34,,"Census Tract 123.02, Atlantic County, New Jersey",3456,5.28
ACSSF,NJ,1400000US34001012401,"Census Tract 124.01, Atlantic County, New Jersey",,,34001012401,3250705,0,34,,"Census Tract 124.01, Atlantic County, New Jersey",2917,0
ACSSF,NJ,1400000US34001012402,"Census Tract 124.02, Atlantic County, New Jersey",,,34001012402,1892796,0,34,,"Census Tract 124.02, Atlantic County, New Jersey",2054,1.47
ACSSF,NJ,1400000US34001012501,"Census Tract 125.01, Atlantic County, New Jersey",,,34001012501,1707894,114132,34,,"Census Tract 125.01, Atlantic County, New Jersey",2353,0
ACSSF,NJ,1400000US34001012502,"Census Tract 125.02, Atlantic County, New Jersey",,,34001012502,2050564,105122,34,,"Census Tract 125.02, Atlantic County, New Jersey",1699,10.05
ACSSF,NJ,1400000US34001012602,"Census Tract 126.02, Atlantic County, New Jersey",,,34001012602,2863331,159099,34,,"Census Tract 126.02, Atlantic County, New Jersey",1507,4.7
ACSSF,NJ,1400000US34001012701,"Census Tract 127.01, Atlantic County, New Jersey",,,34001012701,2685272,232867,34,,"Census Tract 127.01, Atlantic County, New Jersey",3366,27.91
ACSSF,NJ,1400000US34001012702,"Census Tract 127.02, Atlantic County, New Jersey",,,34001012702,2572487,939009,34,,"Census Tract 127.02, Atlantic County, New Jersey",1638,31.66
ACSSF,NJ,1400000US34001012801,"Census Tract 128.01, Atlantic County, New Jersey",,,34001012801,2538377,298747,34,,"Census Tract 128.01, Atlantic County, New Jersey",3865,16.57
ACSSF,NJ,1400000US34001012802,"Census Tract 128.02, Atlantic County, New Jersey",,,34001012802,2590925,1694760,34,,"Census Tract 128.02, Atlantic County, New Jersey",1592,0
ACSSF,NJ,1400000US34001013000,"Census Tract 130, Atlantic County, New Jersey",,,34001013000,2040565,1339295,34,,"Census Tract 130, Atlantic County, New Jersey",3095,2.96
ACSSF,NJ,1400000US34001013101,"Census Tract 131.01, Atlantic County, New Jersey",,,34001013101,829999,822542,34,,"Census Tract 131.01, Atlantic County, New Jersey",1017,0
ACSSF,NJ,1400000US34001013102,"Census Tract 131.02, Atlantic County, New Jersey",,,34001013102,797128,959115,34,,"Census Tract 131.02, Atlantic County, New Jersey",1148,44.64
ACSSF,NJ,1400000US34001013201,"Census Tract 132.01, Atlantic County, New Jersey",,,34001013201,1360584,820471,34,,"Census Tract 132.01, Atlantic County, New Jersey",2426,0
ACSSF,NJ,1400000US34001013202,"Census Tract 132.02, Atlantic County, New Jersey",,,34001013202,761907,610652,34,,"Census Tract 132.02, Atlantic County, New Jersey",2057,0
ACSSF,NJ,1400000US34001013301,"Census Tract 133.01, Atlantic County, New Jersey",,,34001013301,2029887,1873190,34,,"Census Tract 133.01, Atlantic County, New Jersey",2158,15.59
ACSSF,NJ,1400000US34001013302,"Census Tract 133.02, Atlantic County, New Jersey",,,34001013302,911754,758178,34,,"Census Tract 133.02, Atlantic County, New Jersey",2579,30.42
ACSSF,NJ,1400000US34001013500,"Census Tract 135, Atlantic County, New Jersey",,,34001013500,19771250,16316551,34,,"Census Tract 135, Atlantic County, New Jersey",2557,3.12
ACSSF,NJ,1400000US34001983400,"Census Tract 9834, Atlantic County, New Jersey",,,34001983400,7259826,228790,34,,"Census Tract 9834, Atlantic County, New Jersey",2821,0
ACSSF,NJ,1400000US34001990000,"Census Tract 9900, Atlantic County, New Jersey",,,34001990000,0,134532010,34,,"Census Tract 9900, Atlantic County, New Jersey",0,
ACSSF,NJ,1400000US34003001001,"Census Tract 10.01, Bergen County, New Jersey",,,34003001001,3956704,22756,34,,"Census Tract 10.01, Bergen County, New Jersey",3168,0
ACSSF,NJ,1400000US34003001002,"Census Tract 10.02, Bergen County, New Jersey",,,34003001002,4064748,30868,34,,"Census Tract 10.02, Bergen County, New Jersey",3652,0
ACSSF,NJ,1400000US34003002100,"Census Tract 21, Bergen County, New Jersey",,,34003002100,16578454,7426917,34,,"Census Tract 21, Bergen County, New Jersey",1503,0
ACSSF,NJ,1400000US34003002200,"Census Tract 22, Bergen County, New Jersey",,,34003002200,5873397,24988,34,,"Census Tract 22, Bergen County, New Jersey",5301,1.4
ACSSF,NJ,1400000US34003002300,"Census Tract 23, Bergen County, New Jersey",,,34003002300,7213199,22642,34,,"Census Tract 23, Bergen County, New Jersey",5668,0.23
ACSSF,NJ,1400000US34003003100,"Census Tract 31, Bergen County, New Jersey",,,34003003100,1243260,0,34,,"Census Tract 31, Bergen County, New Jersey",5370,3.98
ACSSF,NJ,1400000US34003003200,"Census Tract 32, Bergen County, New Jersey",,,34003003200,1241016,0,34,,"Census Tract 32, Bergen County, New Jersey",4834,6.86
ACSSF,NJ,1400000US34003003300,"Census Tract 33, Bergen County, New Jersey",,,34003003300,1789832,15019,34,,"Census Tract 33, Bergen County, New Jersey",7291,5.14
ACSSF,NJ,1400000US34003003401,"Census Tract 34.01, Bergen County, New Jersey",,,34003003401,755382,0,34,,"Census Tract 34.01, Bergen County, New Jersey",2783,0
ACSSF,NJ,1400000US34003003402,"Census Tract 34.02, Bergen County, New Jersey",,,34003003402,1052665,0,34,,"Census Tract 34.02, Bergen County, New Jersey",3828,3.13
ACSSF,NJ,1400000US34003003500,"Census Tract 35, Bergen County, New Jersey",,,34003003500,1418062,9362,34,,"Census Tract 35, Bergen County, New Jersey",4132,17.55
ACSSF,NJ,1400000US34003004001,"Census Tract 40.01, Bergen County, New Jersey",,,34003004001,844191,30480,34,,"Census Tract 40.01, Bergen County, New Jersey",3842,4.77
ACSSF,NJ,1400000US34003004002,"Census Tract 40.02, Bergen County, New Jersey",,,34003004002,1110295,78541,34,,"Census Tract 40.02, Bergen County, New Jersey",5268,2.72
ACSSF,NJ,1400000US34003005000,"Census Tract 50, Bergen County, New Jersey",,,34003005000,10221592,674547,34,,"Census Tract 50, Bergen County, New Jersey",6343,35.43
ACSSF,NJ,1400000US34003006101,"Census Tract 61.01, Bergen County, New Jersey",,,34003006101,362657,0,34,,"Census Tract 61.01, Bergen County, New Jersey",4293,7.51
ACSSF,NJ,1400000US34003006102,"Census Tract 61.02, Bergen County, New Jersey",,,34003006102,407835,0,34,,"Census Tract 61.02, Bergen County, New Jersey",3312,0.1
ACSSF,NJ,1400000US34003006201,"Census Tract 62.01, Bergen County, New Jersey",,,34003006201,637239,0,34,,"Census Tract 62.01, Bergen County, New Jersey",4715,4.19
ACSSF,NJ,1400000US34003006202,"Census Tract 62.02, Bergen County, New Jersey",,,34003006202,331141,0,34,,"Census Tract 62.02, Bergen County, New Jersey",4559,0
ACSSF,NJ,1400000US34003006301,"Census Tract 63.01, Bergen County, New Jersey",,,34003006301,317666,0,34,,"Census Tract 63.01, Bergen County, New Jersey",4474,43.61
ACSSF,NJ,1400000US34003006302,"Census Tract 63.02, Bergen County, New Jersey",,,34003006302,418903,0,34,,"Census Tract 63.02, Bergen County, New Jersey",4227,50.08
ACSSF,NJ,1400000US34003007001,"Census Tract 70.01, Bergen County, New Jersey",,,34003007001,3529447,356174,34,,"Census Tract 70.01, Bergen County, New Jersey",4129,2.36
ACSSF,NJ,1400000US34003007002,"Census Tract 70.02, Bergen County, New Jersey",,,34003007002,4655526,11144,34,,"Census Tract 70.02, Bergen County, New Jersey",4415,22.87
ACSSF,NJ,1400000US34003008001,"Census Tract 80.01, Bergen County, New Jersey",,,34003008001,3689599,597,34,,"Census Tract 80.01, Bergen County, New Jersey",4674,1.79
ACSSF,NJ,1400000US34003008002,"Census Tract 80.02, Bergen County, New Jersey",,,34003008002,1657950,12206,34,,"Census Tract 80.02, Bergen County, New Jersey",4427,1
ACSSF,NJ,1400000US34003009100,"Census Tract 91, Bergen County, New Jersey",,,34003009100,5367610,17177,34,,"Census Tract 91, Bergen County, New Jersey",4916,0
ACSSF,NJ,1400000US34003009200,"Census Tract 92, Bergen County, New Jersey",,,34003009200,5017372,1031153,34,,"Census Tract 92, Bergen County, New Jersey",3321,4.11
ACSSF,NJ,1400000US34003010100,"Census Tract 101, Bergen County, New Jersey",,,34003010100,1768883,0,34,,"Census Tract 101, Bergen County, New Jersey",5953,12.94
ACSSF,NJ,1400000US34003010200,"Census Tract 102, Bergen County, New Jersey",,,34003010200,1013291,0,34,,"Census Tract 102, Bergen County, New Jersey",4254,1.74
ACSSF,NJ,1400000US34003010300,"Census Tract 103, Bergen County, New Jersey",,,34003010300,2288205,7228,34,,"Census Tract 103, Bergen County, New Jersey",7896,7.33
ACSSF,NJ,1400000US34003011100,"Census Tract 111, Bergen County, New Jersey",,,34003011100,1294769,41454,34,,"Census Tract 111, Bergen County, New Jersey",4907,16.23
ACSSF,NJ,1400000US34003011200,"Census Tract 112, Bergen County, New Jersey",,,34003011200,1142139,64419,34,,"Census Tract 112, Bergen County, New Jersey",4682,1.78
ACSSF,NJ,1400000US34003011300,"Census Tract 113, Bergen County, New Jersey",,,34003011300,2100025,105212,34,,"Census Tract 113, Bergen County, New Jersey",4620,31.79
ACSSF,NJ,1400000US34003011400,"Census Tract 114, Bergen County, New Jersey",,,34003011400,2308180,0,34,,"Census Tract 114, Bergen County, New Jersey",7078,12.44
ACSSF,NJ,1400000US34003012001,"Census Tract 120.01, Bergen County, New Jersey",,,34003012001,8675776,820243,34,,"Census Tract 120.01, Bergen County, New Jersey",6426,0
ACSSF,NJ,1400000US34003012002,"Census Tract 120.02, Bergen County, New Jersey",,,34003012002,936988,32221,34,,"Census Tract 120.02, Bergen County, New Jersey",3728,0
ACSSF,NJ,1400000US34003013002,"Census Tract 130.02, Bergen County, New Jersey",,,34003013002,1175279,1896155,34,,"Census Tract 130.02, Bergen County, New Jersey",6572,0
ACSSF,NJ,1400000US34003013003,"Census Tract 130.03, Bergen County, New Jersey",,,34003013003,790925,1881230,34,,"Census Tract 130.03, Bergen County, New Jersey",3907,0
ACSSF,NJ,1400000US34003013004,"Census Tract 130.04, Bergen County, New Jersey",,,34003013004,548833,0,34,,"Census Tract 130.04, Bergen County, New Jersey",4065,9.08
ACSSF,NJ,1400000US34003014000,"Census Tract 140, Bergen County, New Jersey",,,34003014000,5778027,493201,34,,"Census Tract 140, Bergen County, New Jersey",7263,3.19
ACSSF,NJ,1400000US34003015100,"Census Tract 151, Bergen County, New Jersey",,,34003015100,2846369,0,34,,"Census Tract 151, Bergen County, New Jersey",2583,1.76
ACSSF,NJ,1400000US34003015200,"Census Tract 152, Bergen County, New Jersey",,,34003015200,2026199,5573,34,,"Census Tract 152, Bergen County, New Jersey",6085,36.17
ACSSF,NJ,1400000US34003015300,"Census Tract 153, Bergen County, New Jersey",,,34003015300,1603857,0,34,,"Census Tract 153, Bergen County, New Jersey",5815,0
ACSSF,NJ,1400000US34003015401,"Census Tract 154.01, Bergen County, New Jersey",,,34003015401,1170720,0,34,,"Census Tract 154.01, Bergen County, New Jersey",4561,8.97
