OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
169044202,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,,,NO,20,12,397997.4227,136872.2523,
169044203,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,,,NO,2,7,400616.5545,140514.6508,
169044204,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,,,NO,1,21,399570.6839,138123.2943,
169044205,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,,,NO,3,19,400143.3877,136902.1946,
169044206,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,,,NO,0,18,399830.9372,136951.0386,
169044207,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,,,NO,3,11,401485.7403,136951.2872,
169044208,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,,,NO,0,6,399969.7221,135790.227,
169044209,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,6,18,401010.2674,135846.4614,
169044210,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,6,4,403479.9307,133487.0282,
169044211,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,10,21,401072.8391,136331.685,
169044212,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,3,18,396688.8408,138631.0609,
169044213,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,19,9,397582.4798,136724.0614,
169044214,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,,,NO,10,14,397257.2084,136296.7868,
169044215,105,7th & F St NW/Portrait Gallery,31232,38.897296,-77.022185,YES,NO,,,NO,24,1,398075.5144,136605.3697,
169044216,106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,YES,NO,,,NO,13,22,396675.8978,137134.7868,
169044217,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,,,NO,10,8,396116.0948,137894.7812,
169044218,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,9,6,398602.8121,136388.5716,
169044219,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,1,32,396217.5594,136051.4436,
169044220,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,6,17,393785.3036,137766.9431,
169044221,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,2,16,400747.4721,136903.4496,
