CMPLNT_NUM,CMPLNT_FR_,CMPLNT_F_1,CMPLNT_TO_,CMPLNT_T_1,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_C,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_C,LOC_OF_OCC,PREM_TYP_D,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
528435454,3/14/2009,9:10:00,3/14/2009,9:15:00,3/14/2009,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,"994,492","174,982",40.6469641,-73.96309351,"(40.6469641, -73.963093514)"
993652046,7/31/2011,14:00:00,8/1/2011,15:15:00,8/1/2011,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,,STREET,,,"994,451","149,573",40.57722167,-73.96327964,"(40.577221672, -73.963279641)"
963957630,3/31/2009,22:12:00,,,4/1/2009,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"994,400","231,157",40.80115094,-73.96334033,"(40.801150935, -73.963340332)"
889761457,1/1/2007,17:30:00,1/2/2007,13:30:00,1/2/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90,INSIDE,RESIDENCE - APT. HOUSE,,INDEPENDENCE,"994,403","196,048",40.70478563,-73.9633825,"(40.704785627, -73.963382502)"
187767828,8/5/2009,16:43:00,8/5/2009,17:43:00,8/5/2009,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,,STREET,,,"994,243","233,657",40.80801293,-73.96390368,"(40.808012927, -73.963903684)"
703435300,5/24/2006,21:00:00,,,5/24/2006,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,90,INSIDE,RESIDENCE - PUBLIC HOUSING,,INDEPENDENCE,"994,231","196,250",40.70534027,-73.96400256,"(40.705340265, -73.964002557)"
111022333,11/14/2015,2:00:00,11/14/2015,2:30:00,11/14/2015,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,24,INSIDE,RESIDENCE - PUBLIC HOUSING,,DOUGLASS,"994,199","229,871",40.79762144,-73.96406824,"(40.797621444, -73.964068235)"
698362709,1/17/2011,16:30:00,1/17/2011,16:32:00,1/17/2011,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,,PARK/PLAYGROUND,,,"994,098","234,659",40.8107633,-73.964426,"(40.810763302, -73.964425999)"
542031042,8/1/2012,12:00:00,8/2/2012,13:00:00,11/18/2012,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,24,INSIDE,RESIDENCE - PUBLIC HOUSING,,DOUGLASS,"994,086","229,664",40.79705341,-73.96447667,"(40.797053412, -73.964476665)"
973806757,4/26/2008,1:20:00,4/26/2008,1:20:00,4/26/2008,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,,STREET,,,"993,865","215,915",40.75931627,-73.96529453,"(40.759316273, -73.965294525)"
674471389,4/24/2012,4:10:00,4/24/2012,4:14:00,4/24/2012,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90,,STREET,,,"993,817","198,126",40.7104899,-73.96549308,"(40.7104899, -73.965493083)"
523327923,3/9/2009,3:40:00,3/9/2009,3:50:00,3/9/2009,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,"993,821","170,434",40.63448156,-73.96551797,"(40.634481563, -73.965517971)"
303962946,3/5/2016,20:38:00,3/5/2016,20:44:00,3/6/2016,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,FRONT OF,STREET,,,"993,777","157,495",40.59896673,-73.96569475,"(40.598966733, -73.965694754)"
466019170,5/12/2015,10:30:00,5/12/2015,11:00:00,5/14/2015,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,22,,PARK/PLAYGROUND,CENTRAL PARK,,"993,700","224,344",40.78245186,-73.96587827,"(40.78245186, -73.965878269)"
604929127,5/10/2013,17:13:00,5/10/2013,23:00:00,5/10/2013,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"993,675","230,777",40.80010874,-73.96595952,"(40.800108742, -73.965959517)"
414429112,4/1/2007,18:00:00,4/1/2007,18:10:00,4/9/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE-HOUSE,,,"993,691","172,242",40.63944428,-73.96598382,"(40.639444278, -73.965983819)"
153250170,4/8/2006,8:00:00,4/8/2006,13:35:00,4/8/2006,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,"993,691","172,242",40.63944428,-73.96598382,"(40.639444278, -73.965983819)"
700957271,6/10/2009,19:00:00,6/11/2009,21:40:00,6/13/2009,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,RESIDENCE-HOUSE,,,"993,632","218,005",40.76505304,-73.96613266,"(40.765053036, -73.966132661)"
930533289,8/1/2006,23:00:00,,,8/2/2006,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,RESIDENCE - APT. HOUSE,,,"993,582","190,924",40.69072234,-73.96635071,"(40.690722343, -73.96635071)"
251641661,10/6/2016,14:30:00,10/6/2016,16:00:00,10/6/2016,124,KIDNAPPING,186,LURING A CHILD,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,REAR OF,PUBLIC SCHOOL,,,"993,529","170,256",40.6339933,-73.96657027,"(40.633993302, -73.966570265)"
331638653,10/2/2009,22:30:00,10/3/2009,8:30:00,10/5/2009,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,STREET,,,"993,444","216,618",40.76124628,-73.96681323,"(40.761246275, -73.966813233)"
293112095,10/24/2012,5:15:00,10/24/2012,5:26:00,10/24/2012,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90,,STREET,,,"993,413","197,901",40.70987276,-73.96695063,"(40.709872755, -73.966950625)"
702611201,4/16/2010,21:00:00,4/23/2010,11:00:00,4/25/2010,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,,STREET,,,"993,370","149,271",40.57639392,-73.96717146,"(40.576393919, -73.967171457)"
514350496,4/6/2006,15:00:00,,,4/28/2006,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,RESIDENCE - APT. HOUSE,,,"993,326","188,994",40.6854252,-73.96727643,"(40.685425201, -73.967276434)"
551639996,2/20/2016,0:37:00,2/20/2016,0:49:00,2/20/2016,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,TAXI (YELLOW LICENSED),,,"993,312","216,382",40.76059865,-73.96729004,"(40.760598652, -73.967290041)"
955261087,8/18/2007,20:00:00,8/20/2007,9:00:00,8/22/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"993,280","230,536",40.79944768,-73.96738653,"(40.799447675, -73.967386531)"
