Census Tract,Geography,Geographic Area Name,Total,"Chinese, except Taiwanese",Hmong,Japanese,Korean,Mongolian,Okinawan,Taiwanese,Other East Asian,Burmese,Cambodian,Filipino,Indonesian,Laotian,Malaysian,Mien,Singaporean,Thai,Vietnamese,Other Southeast Asian,Asian Indian,Bangladeshi,Bhutanese,Nepalese,Pakistani,Sikh,Sri Lankan,Other South Asian,Kazakh,Uzbek,Other Central Asian,"Other Asian, specified","Other Asian, not specified",Two or more Asian,Estimate!!Total:,Percent Asian of Census Tract,GEOID
21838,1400000US13067030247,Census Tract 302.47; Cobb County; Georgia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3259,0.184105554,13067030247
21839,1400000US13067030248,Census Tract 302.48; Cobb County; Georgia,493,0,0,40,87,0,0,0,0,0,0,56,0,0,0,0,0,0,9,0,292,0,0,0,9,0,0,0,0,0,0,0,0,0,6757,7.296137339,13067030248
21840,1400000US13067030249,Census Tract 302.49; Cobb County; Georgia,352,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,123,0,0,0,29,0,0,0,0,0,0,0,0,0,3643,9.662366182,13067030249
21841,1400000US13067030250,Census Tract 302.50; Cobb County; Georgia,485,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,190,0,0,0,198,0,0,0,0,0,0,0,0,0,5547,8.743464936,13067030250
21842,1400000US13067030251,Census Tract 302.51; Cobb County; Georgia,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3145,1.653418124,13067030251
21843,1400000US13067030252,Census Tract 302.52; Cobb County; Georgia,83,24,0,0,20,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4895,1.695607763,13067030252
21844,1400000US13067030253,Census Tract 302.53; Cobb County; Georgia,543,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,519,0,0,0,0,0,0,0,0,0,3497,15.52759508,13067030253
21845,1400000US13067030254,Census Tract 302.54; Cobb County; Georgia,118,0,0,0,10,0,0,0,0,65,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,6.50137741,13067030254
21846,1400000US13067030255,Census Tract 302.55; Cobb County; Georgia,719,65,0,0,51,0,0,0,0,0,8,36,0,0,0,0,0,0,59,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,5631,12.76860238,13067030255
21847,1400000US13067030256,Census Tract 302.56; Cobb County; Georgia,90,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,5636,1.596877218,13067030256
21848,1400000US13067030257,Census Tract 302.57; Cobb County; Georgia,577,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,8,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,4499,12.82507224,13067030257
21849,1400000US13067030258,Census Tract 302.58; Cobb County; Georgia,69,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,9,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3712,1.858836207,13067030258
21850,1400000US13067030259,Census Tract 302.59; Cobb County; Georgia,76,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,2.116991643,13067030259
21851,1400000US13067030260,Census Tract 302.60; Cobb County; Georgia,214,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,2,2624,8.155487805,13067030260
21852,1400000US13067030261,Census Tract 302.61; Cobb County; Georgia,83,0,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3588,2.313266444,13067030261
21853,1400000US13067030262,Census Tract 302.62; Cobb County; Georgia,140,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,2.89975145,13067030262
21854,1400000US13067030263,Census Tract 302.63; Cobb County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818,0,13067030263
21855,1400000US13067030264,Census Tract 302.64; Cobb County; Georgia,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2725,2.788990826,13067030264
21856,1400000US13067030265,Census Tract 302.65; Cobb County; Georgia,347,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,4229,8.205249468,13067030265
21857,1400000US13067030266,Census Tract 302.66; Cobb County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,0,13067030266
21858,1400000US13067030267,Census Tract 302.67; Cobb County; Georgia,88,54,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442,2.556653109,13067030267
21859,1400000US13067030268,Census Tract 302.68; Cobb County; Georgia,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,5.950881612,13067030268
21860,1400000US13067030269,Census Tract 302.69; Cobb County; Georgia,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,0.691927512,13067030269
21861,1400000US13067030270,Census Tract 302.70; Cobb County; Georgia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,0.033760972,13067030270
21862,1400000US13067030271,Census Tract 302.71; Cobb County; Georgia,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,0.176366843,13067030271
21863,1400000US13067030272,Census Tract 302.72; Cobb County; Georgia,36,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2570,1.40077821,13067030272
21864,1400000US13067030273,Census Tract 302.73; Cobb County; Georgia,186,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,95,11,0,0,0,0,0,0,0,0,0,0,11,0,2841,6.546990496,13067030273
21865,1400000US13067030274,Census Tract 302.74; Cobb County; Georgia,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,3743,8.308843174,13067030274
21866,1400000US13067030275,Census Tract 302.75; Cobb County; Georgia,128,88,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,4.663023679,13067030275
21867,1400000US13067030276,Census Tract 302.76; Cobb County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841,0,13067030276
21868,1400000US13067030277,Census Tract 302.77; Cobb County; Georgia,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881,0.416522041,13067030277
